Species.n Year  Rec SSB TSB SOP SOP.hat SOP.core Yield Yield.hat Yield.core mean.F Eaten
17 2020  1.95203e+07 294225 405215 34996.4 33496.4 31496.7 34996.4 33496.4 31496.7 0.104391 347144
17 2021  7.58941e+06 393863 510313 33193.3 31933.7 29874 33193.3 31933.7 29874 0.0776564 294505
17 2022  1.48684e+07 444603 507595 27891.4 23716.8 25102.2 27891.4 23716.8 25102.2 0.0484056 296575
17 2023  NA 477366 NA NA NA NA NA NA NA NA NA
18 1974  4.88826e+07 398650 893665 396271 323703 348718 396271 323703 348718 0.696788 983179
18 1975  4.54513e+06 321305 1.43368e+06 494728 415311 435361 494728 415311 435361 0.869663 973929
18 1976  5.11772e+06 523606 1.06336e+06 402849 434892 354508 402849 434892 354508 0.797338 435375
18 1977  1.10666e+07 406147 535411 240340 267291 211499 240340 267291 211499 0.766265 288566
18 1978  1.72369e+07 178719 362126 146706 140235 129101 146706 140235 129101 0.807214 363845
18 1979  2.66377e+07 133769 454447 149064 144909 131177 149064 144909 131177 0.833469 548375
18 1980  1.57219e+07 176450 743830 202451 202816 178157 202451 202816 178157 0.795756 645836
18 1981  2.20427e+07 312499 727624 226485 214447 199306 226485 214447 199306 0.573373 626565
18 1982  9.93454e+06 341988 674738 256108 197036 225375 256108 197036 225375 0.55306 463441
18 1983  1.52873e+07 268948 485995 253230 218021 222842 253230 218021 222842 0.731734 334997
18 1984  5.18767e+06 224072 554385 247089 249407 217439 247089 249407 217439 0.874188 289076
18 1985  5.77107e+06 250470 500461 247098 273354 217447 247098 273354 217447 0.832622 203294
18 1986  1.23679e+07 236627 381239 223727 199333 196880 223727 199333 196880 0.867703 218970
18 1987  1.77559e+06 185886 452805 194995 211569 171595 194995 211569 171595 0.976698 185384
18 1988  1.28757e+06 196462 350842 179974 192745 158377 179974 192745 158377 0.953934 88281
18 1989  2.5112e+06 142427 187245 127719 117825 112393 127719 117825 112393 0.945223 56581.9
18 1990  5.02826e+06 76819.8 133562 86747.9 76034.8 76338.1 86747.9 76034.8 76338.1 0.883634 89321.5
18 1991  7.17201e+06 63263 176163 97264.3 92647.2 85592.6 97264.3 92647.2 85592.6 0.914879 129816
18 1992  1.01401e+07 100545 304056 135185 126204 118962 135185 126204 118962 0.807243 210296
18 1993  4.05225e+06 175892 470750 180218 226571 158592 180218 226571 158592 1.00599 212391
18 1994  1.63161e+07 213843 403311 169436 212005 149104 169436 212005 149104 0.900589 249237
18 1995  8.41077e+06 194637 567633 168928 192796 148656 168928 192796 148656 0.804901 381584
18 1996  6.22642e+06 248184 523976 204683 262659 180121 204683 262659 180121 0.948952 220779
18 1997  3.68851e+06 226269 386056 170009 174584 149608 170009 174584 149608 0.722555 155065
18 1998  1.90511e+06 190501 297032 161929 149104 142498 161929 149104 142498 0.782027 83610.4
18 1999  1.78371e+07 140356 195923 123489 124292 108670 123489 124292 108670 0.977097 184826
