"Species.n" "Year" "Rec" "SSB" "TSB" "SOP" "SOP.hat" "Yield" "yield.hat" "mean.F" "Eaten"
26 1969 1883254 799849 0 142820 0 0 0 0.178 0
26 1970 1739924 736972 0 159982 0 0 0 0.226 0
26 1971 1141734 675895 0 136939 0 0 0 0.206 0
26 1972 1005827 659873 0 142475 0 0 0 0.222 0
26 1973 3356624 542542 0 143783 0 0 0 0.25 0
26 1974 2589780 534971 0 157485 0 0 0 0.27 0
26 1975 1835289 541357 0 195235 0 0 0 0.307 0
26 1976 1501806 558866 0 166917 0 0 0 0.256 0
26 1977 2156978 560178 0 176689 0 0 0 0.291 0
26 1978 1929418 533827 0 159639 0 0 0 0.28 0
26 1979 1861579 510284 0 213282 0 0 0 0.383 0
26 1980 2703665 496578 0 171844 0 0 0 0.33 0
26 1981 2124285 466467 0 174264 0 0 0 0.331 0
26 1982 4605870 449327 0 205280 0 0 0 0.359 0
26 1983 3079561 543625 0 220262 0 0 0 0.348 0
26 1984 2917342 559814 0 236588 0 0 0 0.36 0
26 1985 3690276 596644 0 232387 0 0 0 0.343 0
26 1986 9446686 622907 0 308831 0 0 0 0.422 0
26 1987 4253255 745310 0 359283 0 0 0 0.458 0
26 1988 4217026 645444 0 324975 0 0 0 0.442 0
26 1989 2870445 698394 0 286684 0 0 0 0.385 0
26 1990 2537527 626884 0 240678 0 0 0 0.364 0
26 1991 2397543 577554 0 238212 0 0 0 0.401 0
26 1992 2091943 491912 0 193776 0 0 0 0.394 0
26 1993 1341329 441972 0 163522 0 0 0 0.364 0
26 1994 1157463 386113 0 145710 0 0 0 0.364 0
26 1995 2465575 367117 0 131176 0 0 0 0.379 0
26 1996 2760570 344953 0 143435 0 0 0 0.404 0
26 1997 5120333 372743 0 193103 0 0 0 0.461 0
26 1998 2064067 416898 0 183561 0 0 0 0.406 0
26 1999 1996429 386403 0 160702 0 0 0 0.378 0
26 2000 2459211 407713 0 135065 0 0 0 0.3 0
26 2001 1694638 456603 0 193221 0 0 0 0.398 0
26 2002 4781680 396850 0 134277 0 0 0 0.33 0
26 2003 1778083 468727 0 153997 0 0 0 0.313 0
26 2004 3396933 456154 0 127989 0 0 0 0.234 0
26 2005 2613686 518179 0 119046 0 0 0 0.214 0
26 2006 3058527 580621 0 131303 0 0 0 0.186 0
26 2007 4361990 603437 0 100949 0 0 0 0.148 0
26 2008 3889573 769512 0 105329 0 0 0 0.117 0
26 2009 3787085 897359 0 108262 0 0 0 0.106 0
26 2010 4179064 1038442 0 116910 0 0 0 0.105 0
26 2011 5907213 1020096 0 118100 0 0 0 0.108 0
26 2012 3582160 1060963 0 141932 0 0 0 0.115 0
26 2013 4239308 1099716 0 126247 0 0 0 0.109 0
26 2014 5168164 1171560 0 133697 0 0 0 0.116 0
26 2015 2622824 1038444 0 134585 0 0 0 0.123 0
26 2016 2895949 999635 0 136995 0 0 0 0.139 0
