data Species.n Quarter Year fleet Age observed model residual stand.residual s2
catch 21 1 1985 -9 7  7.070000e+03 1.896996e+03 1.315589e+00 1.528498e+00 7.408163e-01
catch 21 1 1985 -9 8  9.954550e+03 4.055815e+03 8.978782e-01 1.001670e+00 8.034992e-01
catch 21 1 1986 -9 1  6.859143e+05 5.256904e+05 2.660402e-01 3.090950e-01 7.408163e-01
catch 21 1 1986 -9 2  2.821102e+05 2.191139e+05 2.527063e-01 2.936032e-01 7.408163e-01
catch 21 1 1986 -9 3  2.730491e+05 1.349022e+05 7.051016e-01 8.192123e-01 7.408163e-01
catch 21 1 1986 -9 4  1.647881e+05 8.678038e+04 6.412799e-01 7.450619e-01 7.408163e-01
catch 21 1 1986 -9 5  4.759672e+04 2.713697e+04 5.618670e-01 6.527971e-01 7.408163e-01
catch 21 1 1986 -9 6  2.728328e+04 1.105267e+04 9.036018e-01 1.049837e+00 7.408163e-01
catch 21 1 1986 -9 7  7.371920e+03 3.100087e+03 8.662479e-01 1.006438e+00 7.408163e-01
catch 21 1 1986 -9 8  1.535704e+04 2.340883e+03 1.881046e+00 2.098489e+00 8.034992e-01
catch 21 1 1987 -9 1  3.267737e+06 5.274933e+05 1.823717e+00 2.118860e+00 7.408163e-01
catch 21 1 1987 -9 2  4.321266e+05 3.143791e+05 3.181191e-01 3.696021e-01 7.408163e-01
catch 21 1 1987 -9 3  2.111971e+05 1.087900e+05 6.633728e-01 7.707302e-01 7.408163e-01
catch 21 1 1987 -9 4  1.564436e+05 6.952843e+04 8.109597e-01 9.422020e-01 7.408163e-01
catch 21 1 1987 -9 5  7.762105e+04 3.479185e+04 8.024556e-01 9.323216e-01 7.408163e-01
catch 21 1 1987 -9 6  1.571071e+04 1.226058e+04 2.479530e-01 2.880807e-01 7.408163e-01
catch 21 1 1987 -9 7  4.580750e+03 5.039673e+03 -9.547847e-02 -1.109303e-01 7.408163e-01
catch 21 1 1987 -9 8  4.657500e+03 2.505907e+03 6.198282e-01 6.914785e-01 8.034992e-01
catch 21 1 1988 -9 1  6.069969e+05 3.755178e+05 4.802180e-01 5.579344e-01 7.408163e-01
catch 21 1 1988 -9 2  2.523696e+05 3.575942e+05 -3.485043e-01 -4.049047e-01 7.408163e-01
catch 21 1 1988 -9 3  2.420710e+05 1.773141e+05 3.113082e-01 3.616890e-01 7.408163e-01
catch 21 1 1988 -9 4  1.365549e+05 6.015283e+04 8.198382e-01 9.525174e-01 7.408163e-01
catch 21 1 1988 -9 5  1.097686e+05 3.087889e+04 1.268302e+00 1.473558e+00 7.408163e-01
catch 21 1 1988 -9 6  5.064419e+04 1.728820e+04 1.074800e+00 1.248741e+00 7.408163e-01
catch 21 1 1988 -9 7  1.700000e+04 6.142228e+03 1.018026e+00 1.182779e+00 7.408163e-01
catch 21 1 1988 -9 8  7.933330e+03 3.891097e+03 7.123817e-01 7.947308e-01 8.034992e-01
catch 21 1 1989 -9 1  7.866820e+04 2.085525e+05 -9.749516e-01 -1.132734e+00 7.408163e-01
catch 21 1 1989 -9 2  4.016461e+05 2.257017e+05 5.763571e-01 6.696323e-01 7.408163e-01
catch 21 1 1989 -9 3  2.610106e+05 1.855883e+05 3.410302e-01 3.962211e-01 7.408163e-01
catch 21 1 1989 -9 4  1.461060e+05 8.997039e+04 4.848515e-01 5.633178e-01 7.408163e-01
catch 21 1 1989 -9 5  3.559093e+04 2.438298e+04 3.782056e-01 4.394128e-01 7.408163e-01
catch 21 1 1989 -9 6  1.795799e+04 1.392867e+04 2.540856e-01 2.952057e-01 7.408163e-01
catch 21 1 1989 -9 7  1.058360e+04 7.863670e+03 2.970522e-01 3.451259e-01 7.408163e-01
catch 21 1 1989 -9 8  2.847120e+03 4.638811e+03 -4.881502e-01 -5.445788e-01 8.034992e-01
catch 21 1 1990 -9 1  6.095600e+05 1.648378e+05 1.307776e+00 1.519421e+00 7.408163e-01
catch 21 1 1990 -9 2  1.346675e+05 1.499240e+05 -1.073197e-01 -1.246878e-01 7.408163e-01
catch 21 1 1990 -9 3  1.173804e+05 1.408627e+05 -1.823652e-01 -2.118784e-01 7.408163e-01
catch 21 1 1990 -9 4  1.400190e+05 1.145530e+05 2.007402e-01 2.332272e-01 7.408163e-01
catch 21 1 1990 -9 5  7.329409e+04 4.306603e+04 5.317456e-01 6.178010e-01 7.408163e-01
catch 21 1 1990 -9 6  9.411740e+03 1.302887e+04 -3.252101e-01 -3.778407e-01 7.408163e-01
catch 21 1 1990 -9 7  7.500000e+03 7.613481e+03 -1.501744e-02 -1.744780e-02 7.408163e-01
catch 21 1 1990 -9 8  5.855090e+03 6.929921e+03 -1.685371e-01 -1.880194e-01 8.034992e-01
catch 21 1 1991 -9 1  4.211110e+04 2.018332e+05 -1.567130e+00 -1.820748e+00 7.408163e-01
catch 21 1 1991 -9 2  1.618495e+05 1.393745e+05 1.495024e-01 1.736973e-01 7.408163e-01
catch 21 1 1991 -9 3  9.112379e+04 1.122645e+05 -2.086389e-01 -2.424041e-01 7.408163e-01
catch 21 1 1991 -9 4  1.140000e+05 1.042232e+05 8.966374e-02 1.041745e-01 7.408163e-01
catch 21 1 1991 -9 5  9.843369e+04 6.593399e+04 4.007290e-01 4.655813e-01 7.408163e-01
catch 21 1 1991 -9 6  3.087141e+04 2.817830e+04 9.127818e-02 1.060502e-01 7.408163e-01
catch 21 1 1991 -9 7  9.521130e+03 8.639278e+03 9.719457e-02 1.129241e-01 7.408163e-01
catch 21 1 1991 -9 8  5.867200e+03 9.715944e+03 -5.043907e-01 -5.626967e-01 8.034992e-01
catch 21 1 1992 -9 1  4.438676e+04 2.578765e+05 -1.759540e+00 -2.044296e+00 7.408163e-01
catch 21 1 1992 -9 2  3.768576e+05 1.955937e+05 6.558279e-01 7.619643e-01 7.408163e-01
catch 21 1 1992 -9 3  7.387294e+04 1.217705e+05 -4.997917e-01 -5.806759e-01 7.408163e-01
catch 21 1 1992 -9 4  6.732870e+04 9.663453e+04 -3.613495e-01 -4.198288e-01 7.408163e-01
catch 21 1 1992 -9 5  7.305007e+04 7.069383e+04 3.278678e-02 3.809286e-02 7.408163e-01
catch 21 1 1992 -9 6  6.425149e+04 5.011835e+04 2.484176e-01 2.886205e-01 7.408163e-01
catch 21 1 1992 -9 7  1.485031e+04 2.156928e+04 -3.732493e-01 -4.336544e-01 7.408163e-01
catch 21 1 1992 -9 8  8.123340e+03 1.424506e+04 -5.616685e-01 -6.265957e-01 8.034992e-01
catch 21 1 1993 -9 1  2.379829e+06 5.145106e+05 1.531568e+00 1.779430e+00 7.408163e-01
catch 21 1 1993 -9 2  3.092351e+05 2.281370e+05 3.041554e-01 3.533786e-01 7.408163e-01
catch 21 1 1993 -9 3  7.813700e+04 1.422056e+05 -5.988104e-01 -6.957194e-01 7.408163e-01
catch 21 1 1993 -9 4  4.151846e+04 8.685671e+04 -7.381216e-01 -8.575761e-01 7.408163e-01
catch 21 1 1993 -9 5  2.702479e+04 5.203673e+04 -6.551951e-01 -7.612291e-01 7.408163e-01
catch 21 1 1993 -9 6  1.757105e+04 4.260350e+04 -8.856838e-01 -1.029019e+00 7.408163e-01
catch 21 1 1993 -9 7  2.012480e+04 3.124588e+04 -4.399347e-01 -5.111319e-01 7.408163e-01
catch 21 1 1993 -9 8  1.353146e+04 2.275607e+04 -5.198144e-01 -5.799033e-01 8.034992e-01
catch 21 1 1994 -9 1  3.867603e+05 4.630942e+05 -1.801254e-01 -2.092762e-01 7.408163e-01
catch 21 1 1994 -9 2  1.842260e+05 2.840244e+05 -4.328970e-01 -5.029552e-01 7.408163e-01
catch 21 1 1994 -9 3  4.250879e+04 9.923458e+04 -8.477757e-01 -9.849761e-01 7.408163e-01
catch 21 1 1994 -9 4  5.404204e+04 5.922371e+04 -9.155977e-02 -1.063774e-01 7.408163e-01
catch 21 1 1994 -9 5  8.685640e+03 2.671138e+04 -1.123419e+00 -1.305228e+00 7.408163e-01
catch 21 1 1994 -9 6  9.035810e+03 1.853322e+04 -7.183691e-01 -8.346269e-01 7.408163e-01
catch 21 1 1994 -9 7  1.192487e+04 1.566742e+04 -2.729573e-01 -3.171315e-01 7.408163e-01
catch 21 1 1994 -9 8  1.526705e+04 2.015004e+04 -2.775093e-01 -3.095885e-01 8.034992e-01
catch 21 1 1995 -9 1  1.829948e+05 4.000063e+05 -7.820225e-01 -9.085816e-01 7.408163e-01
catch 21 1 1995 -9 2  8.386882e+04 3.041120e+05 -1.288142e+00 -1.496609e+00 7.408163e-01
catch 21 1 1995 -9 3  1.405304e+05 1.486641e+05 -5.626570e-02 -6.537150e-02 7.408163e-01
catch 21 1 1995 -9 4  2.567069e+04 5.060795e+04 -6.787587e-01 -7.886062e-01 7.408163e-01
catch 21 1 1995 -9 5  1.325928e+04 2.247497e+04 -5.277045e-01 -6.131060e-01 7.408163e-01
catch 21 1 1995 -9 6  3.079220e+03 1.191723e+04 -1.353309e+00 -1.572322e+00 7.408163e-01
catch 21 1 1995 -9 7  2.435820e+03 8.449210e+03 -1.243789e+00 -1.445079e+00 7.408163e-01
catch 21 1 1995 -9 8  4.977000e+03 1.651782e+04 -1.199612e+00 -1.338284e+00 8.034992e-01
catch 21 1 1996 -9 1  1.139712e+06 1.503241e+05 2.025737e+00 2.353574e+00 7.408163e-01
catch 21 1 1996 -9 2  7.087485e+04 1.004498e+05 -3.487421e-01 -4.051810e-01 7.408163e-01
catch 21 1 1996 -9 3  1.223163e+05 5.963621e+04 7.183472e-01 8.346014e-01 7.408163e-01
catch 21 1 1996 -9 4  3.389564e+04 2.815762e+04 1.854685e-01 2.154839e-01 7.408163e-01
catch 21 1 1996 -9 5  1.294719e+04 7.097348e+03 6.011576e-01 6.984464e-01 7.408163e-01
catch 21 1 1996 -9 6  7.290410e+03 3.566990e+03 7.148377e-01 8.305240e-01 7.408163e-01
catch 21 1 1996 -9 7  1.585730e+03 2.024000e+03 -2.440307e-01 -2.835235e-01 7.408163e-01
catch 21 1 1996 -9 8  2.141070e+03 4.400377e+03 -7.203845e-01 -8.036586e-01 8.034992e-01
catch 21 1 1997 -9 1  3.145139e+04 2.001473e+05 -1.850610e+00 -2.150105e+00 7.408163e-01
catch 21 1 1997 -9 2  3.804771e+04 1.037841e+05 -1.003472e+00 -1.165869e+00 7.408163e-01
catch 21 1 1997 -9 3  5.817377e+04 6.178090e+04 -6.015964e-02 -6.989562e-02 7.408163e-01
catch 21 1 1997 -9 4  5.932959e+04 3.690790e+04 4.746825e-01 5.515031e-01 7.408163e-01
catch 21 1 1997 -9 5  1.361658e+04 1.371322e+04 -7.072154e-03 -8.216681e-03 7.408163e-01
catch 21 1 1997 -9 6  4.620030e+03 3.784425e+03 1.995072e-01 2.317945e-01 7.408163e-01
catch 21 1 1997 -9 7  1.302610e+03 2.073752e+03 -4.649897e-01 -5.402417e-01 7.408163e-01
catch 21 1 1997 -9 8  6.914590e+03 3.820252e+03 5.933174e-01 6.619030e-01 8.034992e-01
