"SMS_area" "year" "quarter" "pred" "pred.no" "pred.size" "pred.size.class" "pred.mean.length" "haul.no" "stom.no" "phi" "prey" "prey.no" "prey.size" "prey.size.class" "prey.mean.length" "prey.mean.length.ALK" "stomcon" "type" "mean.weight" "haul.prey.no" "calc.prey.number" "used.prey.number"
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "SSA" 23 "0150-0200" 4 175 -9 0.000839128885368567 "obs" 0.0195077728658943 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "SSA" 23 "0200-0250" 5 225 -9 0.000604249401960156 "obs" 0.0420910506809898 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "NOP" 24 "0070-0100" 2 85 -9 0.0178047095288508 "obs" 0.00513329073688333 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "NOP" 24 "0100-0150" 3 125 -9 0.0362911207797989 "obs" 0.0164799506456668 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "NOP" 24 "0150-0200" 4 175 -9 0.0343653371362873 "obs" 0.0455937735441265 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "SPR" 25 "0050-0070" 1 60 -9 0.000788590087575497 "obs" 0.00131637182500142 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "SPR" 25 "0070-0100" 2 85 -9 0.00218434219459729 "obs" 0.00441543242909492 1 -1 -1
1 1981 1 "COD" 16 "0500-0700" 9 600 89 556 94.0727926295539 "SPR" 25 "0100-0150" 3 125 -9 0.0261877625590013 "obs" 0.0168631139577688 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "OTH" 0 "9999-9999" 0 9999 -9 0.365921967539428 "obs" 9999 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "COD" 16 "0100-0150" 3 125 -9 0.000613771326898433 "obs" 0.0200833177350931 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "COD" 16 "0150-0200" 4 175 -9 0.00499583832366793 "obs" 0.0525215905840062 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "COD" 16 "0200-0250" 5 225 -9 0.013865682511879 "obs" 0.107689790863805 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "COD" 16 "0250-0300" 6 275 -9 0.0331203874604017 "obs" 0.191060671860115 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "COD" 16 "0300-0400" 7 350 -9 0.0297461056689367 "obs" 0.380549074937876 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "WHG" 17 "0100-0150" 3 125 -9 0.0114297990973901 "obs" 0.015770571559659 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "WHG" 17 "0150-0200" 4 175 -9 0.0207017538773265 "obs" 0.0424895542763567 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "WHG" 17 "0200-0250" 5 225 -9 0.124070391512398 "obs" 0.0890795725545096 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "WHG" 17 "0250-0300" 6 275 -9 0.0807778222648615 "obs" 0.160874674802708 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "WHG" 17 "0300-0400" 7 350 -9 0.0126362075298745 "obs" 0.327337778340466 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "HAD" 18 "0100-0150" 3 125 -9 0.0151140057306768 "obs" 0.0154034006847182 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "HAD" 18 "0150-0200" 4 175 -9 0.0215610683856617 "obs" 0.0398741413450008 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "HAD" 18 "0200-0250" 5 225 -9 0.114231270580472 "obs" 0.0811373707245635 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "HAD" 18 "0250-0300" 6 275 -9 0.0513934718732299 "obs" 0.143079379121644 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "HER" 21 "0100-0150" 3 125 -9 0.00238710243192863 "obs" 0.0182225024101011 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "HER" 21 "0150-0200" 4 175 -9 0.00689203280774461 "obs" 0.0515468460677336 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "HER" 21 "0200-0250" 5 225 -9 0.00203660728254792 "obs" 0.112073301595353 1 -1 -1
1 1981 1 "COD" 16 "0700-1000" 10 850 94 684 195.179182250073 "HER" 21 "0250-0300" 6 275 -9 0.00414868411036519 "obs" 0.208368022040802 1 -1 -1
