"SMS_area" "year" "quarter" "prey" "prey.no" "prey.age" "prey.size.class" "prey.size" "ALK.MeanL" "ALK"
1 1981 2 "HAD" 18 1 6 "0250-0300" 26.112227754 1.7780152574
1 1981 2 "HAD" 18 2 4 "0150-0200" 19.099930652 2.5734865227
1 1981 2 "HAD" 18 2 5 "0200-0250" 23.096198157 38.072182671
1 1981 2 "HAD" 18 2 6 "0250-0300" 27.183405878 46.371047578
1 1981 2 "HAD" 18 2 7 "0300-0400" 31.942231604 12.983283228
1 1981 2 "HAD" 18 3 4 "0150-0200" 19.499978804 0.026021984
1 1981 2 "HAD" 18 3 5 "0200-0250" 23.729920935 2.2654527331
1 1981 2 "HAD" 18 3 6 "0250-0300" 28.086362038 36.288035052
1 1981 2 "HAD" 18 3 7 "0300-0400" 33.131601058 59.075204968
1 1981 2 "HAD" 18 3 8 "0400-0500" 42.355652359 2.345285263
1 1981 2 "HAD" 18 4 6 "0250-0300" 29.049022986 9.8323532508
1 1981 2 "HAD" 18 4 7 "0300-0400" 34.6249642 76.383612099
1 1981 2 "HAD" 18 4 8 "0400-0500" 43.138322395 12.712314698
1 1981 2 "HAD" 18 4 9 "0500-0700" 53.431906833 1.0717199516
1 1981 2 "HAD" 18 5 6 "0250-0300" 26.5 2.2014884511
1 1981 2 "HAD" 18 5 7 "0300-0400" 35.85793799 64.15680258
1 1981 2 "HAD" 18 5 8 "0400-0500" 43.136204309 28.871739104
1 1981 2 "HAD" 18 5 9 "0500-0700" 55.427382413 4.7699698648
1 1981 2 "HAD" 18 6 7 "0300-0400" 36.691035076 42.518026803
1 1981 2 "HAD" 18 6 8 "0400-0500" 43.202514116 45.789769507
1 1981 2 "HAD" 18 6 9 "0500-0700" 56.666027639 11.69220369
1 1981 2 "HAD" 18 7 7 "0300-0400" 38.558573676 40.62805549
1 1981 2 "HAD" 18 7 8 "0400-0500" 44.189010015 39.427392509
1 1981 2 "HAD" 18 7 9 "0500-0700" 57.282566482 19.944552001
1 1981 2 "HAD" 18 8 7 "0300-0400" 37.805836145 35.525391758
1 1981 2 "HAD" 18 8 8 "0400-0500" 42.262877684 33.587781464
1 1981 2 "HAD" 18 8 9 "0500-0700" 59.648964532 30.886826778
1 1981 2 "HAD" 18 9 7 "0300-0400" 38.365872605 14.102582836
1 1981 2 "HAD" 18 9 8 "0400-0500" 46.026537797 32.507023287
1 1981 2 "HAD" 18 9 9 "0500-0700" 59.057825464 43.81269835
1 1981 2 "HAD" 18 9 10 "0700-1000" 73.014705882 9.577695527
1 1981 2 "HAD" 18 10 8 "0400-0500" 42.49726758 38.893229449
1 1981 2 "HAD" 18 10 9 "0500-0700" 61.5 61.106770551
1 1981 2 "POK" 19 1 5 "0200-0250" 22.848219032 30.378823161
1 1981 2 "POK" 19 1 6 "0250-0300" 27.253765337 38.291030305
1 1981 2 "POK" 19 1 7 "0300-0400" 36.557727293 31.330146533
1 1981 2 "POK" 19 2 6 "0250-0300" 28.443729795 2.2815010386
1 1981 2 "POK" 19 2 7 "0300-0400" 37.351341236 35.129334937
1 1981 2 "POK" 19 2 8 "0400-0500" 42.769881013 58.418104581
1 1981 2 "POK" 19 2 9 "0500-0700" 51.644565583 4.1710594437
1 1981 2 "POK" 19 3 6 "0250-0300" 28.042285345 0.087772842
1 1981 2 "POK" 19 3 7 "0300-0400" 37.834623937 26.016893199
1 1981 2 "POK" 19 3 8 "0400-0500" 43.972499096 67.803540825
1 1981 2 "POK" 19 3 9 "0500-0700" 52.843076614 6.0917931345
1 1981 2 "POK" 19 4 8 "0400-0500" 46.321598347 62.391076156
1 1981 2 "POK" 19 4 9 "0500-0700" 53.782049928 37.608923844
1 1981 2 "POK" 19 5 8 "0400-0500" 46.710407621 13.588009595
1 1981 2 "POK" 19 5 9 "0500-0700" 57.859970578 84.471341426
1 1981 2 "POK" 19 5 10 "0700-1000" 72.400714254 1.940648979
1 1981 2 "POK" 19 6 9 "0500-0700" 63.399660776 81.789634028
1 1981 2 "POK" 19 6 10 "0700-1000" 73.08581324 18.210365972
1 1981 2 "POK" 19 7 9 "0500-0700" 65.805439613 18.170259419
1 1981 2 "POK" 19 7 10 "0700-1000" 76.82653331 81.829740581
1 1981 2 "POK" 19 8 9 "0500-0700" 67.020135135 12.372785364
1 1981 2 "POK" 19 8 10 "0700-1000" 81.68339002 87.627214636
1 1981 2 "POK" 19 9 10 "0700-1000" 86.585536304 96.283788361
1 1981 2 "POK" 19 9 11 "1000-1200" 103.17670804 3.7162116386
1 1981 2 "POK" 19 10 10 "0700-1000" 92.613922845 25.902286424
1 1981 2 "POK" 19 10 11 "1000-1200" 105.58297066 74.097713576
1 1981 2 "MAC" 20 1 5 "0200-0250" 22.853852825 86.147962793
1 1981 2 "MAC" 20 1 6 "0250-0300" 26.245070744 13.852037207
1 1981 2 "MAC" 20 2 5 "0200-0250" 23.808472831 0.235838425
1 1981 2 "MAC" 20 2 6 "0250-0300" 27.852006164 83.116181379
1 1981 2 "MAC" 20 2 7 "0300-0400" 31.21383761 16.647980196
1 1981 2 "MAC" 20 3 6 "0250-0300" 28.389003135 13.960218653
1 1981 2 "MAC" 20 3 7 "0300-0400" 32.624151738 86.039781347
1 1981 2 "MAC" 20 4 6 "0250-0300" 29.376337854 1.1264261608
1 1981 2 "MAC" 20 4 7 "0300-0400" 33.964656065 98.873573839
1 1981 2 "MAC" 20 5 7 "0300-0400" 34.371446903 98.13399603
1 1981 2 "MAC" 20 5 8 "0400-0500" 40.884555132 1.8660039703
1 1981 2 "MAC" 20 6 7 "0300-0400" 36.521308088 81.675062992
1 1981 2 "MAC" 20 6 8 "0400-0500" 41.829517286 18.324937008
1 1981 2 "MAC" 20 7 7 "0300-0400" 36.357051962 94.626786272
1 1981 2 "MAC" 20 7 8 "0400-0500" 41.090055063 5.3732137281
1 1981 2 "MAC" 20 8 7 "0300-0400" 33.991846147 84.755931417
1 1981 2 "MAC" 20 8 8 "0400-0500" 42.234057103 15.244068583
1 1981 2 "MAC" 20 9 7 "0300-0400" 37.547201838 79.231075904
1 1981 2 "MAC" 20 9 8 "0400-0500" 42.053911415 20.768924096
1 1981 2 "MAC" 20 10 7 "0300-0400" 37.29078034 51.161774588
1 1981 2 "MAC" 20 10 8 "0400-0500" 41.832352076 48.838225412
1 1981 2 "HER" 21 1 2 "0070-0100" 8.3794359457 2.9353932134
1 1981 2 "HER" 21 1 3 "0100-0150" 13.590058475 42.594539076
1 1981 2 "HER" 21 1 4 "0150-0200" 16.808796075 52.36122199
